id,state,county,testRate
24001,Maryland,Allegany County,10.0
24003,Maryland,Anne Arundel County,5
24005,Maryland,Baltimore County,4.7
24009,Maryland,Calvert County,4.1
24011,Maryland,Caroline County,4.8
24013,Maryland,Carroll County,3.8
24015,Maryland,Cecil County,5.3
24017,Maryland,Charles County,4.7
24019,Maryland,Dorchester County,6.2
24021,Maryland,Frederick County,3.9
24023,Maryland,Garrett County,5.2
24025,Maryland,Harford County,4.3
24027,Maryland,Howard County,3.4
24029,Maryland,Kent County,4.7
24031,Maryland,Montgomery County,3.4
24033,Maryland,Prince George's County,1.0
24035,Maryland,Queen Anne's County,3.8
24037,Maryland,St. Mary's County,4.5
24039,Maryland,Somerset County,6.5
24041,Maryland,Talbot County,4
24043,Maryland,Washington County,5.2
24045,Maryland,Wicomico County,5.5
24047,Maryland,Worcester County,5.8
24510,Maryland,Baltimore city,6.9
